layer,position,n_pairs,SSSF_mean,SSSF_sd,NNNF_mean,NNNF_sd,HHHF_mean,HHHF_sd,SSHF_mean,SSHF_sd,dz_SSSF_NNNF,dz_HHHF_NNNF,dz_SSHF_NNNF,dz_SSHF_SSSF
0,eot_u_4,160,-0.9403892132010053,3.3254525518717797,-2.8047419474688366,3.1113408502738356,-5.685510569279225,2.6026605001866296,-3.523151525873831,3.194599439515726,0.7056009248641356,-1.1518458424529119,-0.2632105890775359,-0.9306579358042516
1,eot_u_4,160,0.9689870667936464,2.4930193773440124,-3.1385139988735116,3.1757928292160176,-4.382131638708377,2.8696249502514504,-0.7507281114100061,2.9324554781824674,2.3135796559576343,-0.6032222165388481,1.0839403878347196,-1.0820141423724279
2,eot_u_4,160,-2.2907040468242976,2.461677109081243,-4.690922894466183,3.1422517242205408,-4.999790602006807,3.1072096947079246,-3.270084628510407,2.7787920927924694,1.8988311105383542,-0.23336249743369059,1.0187464449971138,-1.1823991279948758
3,eot_u_4,160,-0.2667924908017573,1.268432174720487,-1.237249604689229,1.4021478271558474,-1.2939543223514063,1.2581011673547782,-0.5433961955418096,1.3388233133183784,1.1166130588184704,-0.07422729605384899,0.8453777259738559,-0.5950695873417625
4,eot_u_4,160,1.7574369345936263,1.825507617833662,0.749034857442187,2.2788231571091586,0.7734280623547177,1.9153623039881726,1.6093672126107212,2.0456266782691266,0.9150194804398218,0.020917159301071915,0.8892273156757661,-0.21353790554992935
5,eot_u_4,160,-0.11772235497595114,1.6952734379140821,0.33471147105483395,1.7220690737867732,0.056804154219209035,1.6351003155143276,-0.05696196878023887,1.7819399420673094,-0.5763801175838584,-0.46422614587869365,-0.5768312317220815,0.1273366217880989
6,eot_u_4,160,-2.0489037676454673,1.4008135797110441,-2.0776693919581337,1.579046097165697,-2.0887193703434606,1.5224691414146514,-2.118123286784815,1.4988476290983894,0.06353019350865977,-0.03668566938428353,-0.10250896565991217,-0.32248570261726817
7,eot_u_4,160,0.22837984983688359,1.4668043469504328,0.3383487849883348,1.671453140162163,0.49512691316237073,1.4365555426400598,0.41018228606995366,1.4588168748253183,-0.19307820875018677,0.26000334196441033,0.11672786949760344,0.8439650008811485
8,eot_u_4,160,1.800702032598198,1.5844882729752836,2.1884135743411974,1.6972237169190314,2.5091711837561332,1.769276650281453,2.223400453216919,1.5796896819609314,-0.8454306630112253,0.5923679842629878,0.07258023550155787,1.8406447569838025
9,eot_u_4,160,1.698903206123434,1.4710013276506195,2.063737962958962,1.5891027705987477,2.4642425193133213,1.4089255371915892,2.170883299204685,1.4561548506436361,-0.6405099580177007,0.6508773932605962,0.1706985462002398,1.4639533189690284
10,eot_u_4,160,0.5382300426251105,1.4003751178464128,0.7919397956489707,1.4701246049001924,1.1218271645502433,1.4282022011760551,0.7966525598586861,1.3851654297136986,-0.5391965253529503,0.9761502266833856,0.01135604965318953,0.8864924034352549
11,eot_u_4,160,1.0374581672142487,1.1143701258973084,2.0649044445796734,1.2036575154548068,2.18605889794449,1.2104043568286278,1.4660156394941244,0.9303111740833206,-1.9553377731066617,0.26367413479940144,-1.0973309249835896,0.9115039903813552
12,eot_u_4,160,0.3673949314414426,1.133528366037487,1.1208135636708718,1.1848391397182618,1.206620234101965,1.1668806762854236,0.7417155997429462,0.9820041700447073,-1.41226853783155,0.2052394813507421,-0.8308848087728715,0.991120826914877
