probe,strength,shuffle,clean_mean_diff,shuf_mean_diff,mean_diff_survival_pct,clean_dz,shuf_dz,dz_survival_pct
P1,0.25,a_k,0.0866566673060717,0.024380918961603118,28.13507571839754,0.276562630298488,0.12318872315971675,44.542794168092
P1,0.25,u_next,0.0866566673060717,0.03834092292998599,44.24463128101349,0.276562630298488,0.07050534333486784,25.49344546614015
P1,0.25,both,0.0866566673060717,0.03933479054272871,45.391533929868395,0.276562630298488,0.07291679471449193,26.365382277350495
P1,0.5,a_k,-0.0303052233352739,-0.03371727834095028,111.25896670659048,-0.0806291249723334,-0.18759049057167554,232.65847252595663
P1,0.5,u_next,-0.0303052233352739,-0.0030599166087670535,10.09699408882247,-0.0806291249723334,0.014529736470890961,-18.02045659788148
P1,0.5,both,-0.0303052233352739,0.08902677257482548,-293.7670895538406,-0.0806291249723334,0.1843009005521847,-228.5785696116938
P2,0.25,a_k,0.10781972989099615,-0.02432858402066465,-22.564130002236528,0.29306983975995266,-0.09289262957978932,-31.696413952345186
P2,0.25,u_next,0.10781972989099615,0.011275472000885349,10.45770752002871,0.29306983975995266,0.022348526492002755,7.62566578338732
P2,0.25,both,0.10781972989099615,-0.029027249580972084,-26.922020311419924,0.29306983975995266,-0.06295829331143436,-21.482351566098433
P2,0.5,a_k,0.22473714418855195,-0.05050534394428495,-22.47307365528839,0.8480810857022074,-0.11078236454801632,-13.062709028145465
P2,0.5,u_next,0.22473714418855195,0.014969289837804533,6.660799171340126,0.8480810857022074,0.05804520334396566,6.844298773142015
P2,0.5,both,0.22473714418855195,-0.05560038939043771,-24.740186848592153,0.8480810857022074,-0.12472019799405716,-14.706164315737496
