prefix_id,topic,probe,layer,E_readout,A_readout,diff_E_minus_A
NNNF|tech_support|b|00,tech_support,P1,26,3.2909263099188326,4.443573881758965,-1.1526475718401326
NNNF|tech_support|b|00,tech_support,P1,27,3.3546050643019036,4.6590103811627825,-1.304405316860879
NNNF|tech_support|b|00,tech_support,P1,28,2.859012342354329,3.712607788751717,-0.8535954463973878
NNNF|tech_support|b|00,tech_support,P1,29,2.0351436149885878,2.1550612348124587,-0.11991761982387095
NNNF|travel|a|00,travel,P1,11,1.5140532082940132,1.6460928912489123,-0.1320396829548991
NNNF|travel|a|00,travel,P1,12,1.1694530515945174,1.1725320438330709,-0.0030789922385534574
NNNF|travel|a|00,travel,P1,13,1.6275289676011535,1.840172713696154,-0.21264374609500059
NNNF|travel|a|00,travel,P1,14,1.8618883316740265,1.9202419464656533,-0.05835361479162682
NNNF|travel|a|00,travel,P1,15,0.9302273786291553,1.3160793868039746,-0.38585200817481935
NNNF|travel|a|00,travel,P1,16,1.498704132837719,1.8103186057628982,-0.3116144729251791
NNNF|travel|a|00,travel,P1,17,1.5235268043525343,1.841206920890683,-0.31768011653814865
NNNF|travel|a|00,travel,P1,18,0.5103998412335049,0.6801231376680941,-0.16972329643458917
NNNF|travel|a|00,travel,P1,19,0.21893206948935223,0.5916266054129383,-0.3726945359235861
NNNF|travel|a|00,travel,P1,20,0.6315482060142971,1.243632165684089,-0.6120839596697919
NNNF|travel|a|00,travel,P1,21,0.8317594287866381,1.06382323461841,-0.23206380583177189
NNNF|travel|a|00,travel,P1,22,1.4915824975626766,1.6840605321051458,-0.19247803454246926
NNNF|travel|a|00,travel,P1,23,1.124421245383918,1.8144899074533734,-0.6900686620694554
NNNF|travel|a|00,travel,P1,24,2.902778190556705,3.213008679636109,-0.31023048907940387
NNNF|travel|a|00,travel,P1,25,2.9749916266245156,3.0834860075403125,-0.108494380915797
NNNF|travel|a|00,travel,P1,26,2.3838544918936284,2.919412019383788,-0.5355575274901594
NNNF|travel|a|00,travel,P1,27,2.131199366402028,2.6612551738968864,-0.5300558074948585
