perturbation,survival_pct,ci_lo,ci_hi,contains_100,n_boot,n_prefixes
a_token_shuffle,3.1611602839472006,-55.91575233298097,43.843525779624386,False,10000,20
b_word_substitution,117.94425192241513,82.48114485070089,161.31022846179252,True,10000,20
c_sentence_reversal,99.05141465481671,50.6327261497688,170.35320422273347,True,10000,20
d_position_control,119.09478454085993,60.42549265103223,180.50770893942953,True,10000,20
