layer,eot_u_4_SSSF_mean,eot_u_4_NNNF_mean,eot_u_4_diff,eot_u_4_dz,u_4_SSSF_mean,u_4_NNNF_mean,u_4_diff,u_4_dz
0,-2.40379110930043,-2.6443180065372354,0.24052689723680531,0.27932127988095873,-8.576234147573047,-8.561500815085562,-0.014733332487484319,-0.03722449765098335
1,-2.2363291900456694,-2.5761796444403893,0.33985045439471984,1.1466142916156397,-5.620034147410247,-5.809317584875567,0.18928343746531962,1.5021788697289173
2,-4.344958908878318,-4.49414192765124,0.14918301877292262,1.163463096315128,-3.0050434846330445,-3.0516180755621996,0.04657459092915506,0.6109405426507415
3,-0.9845622479105995,-1.2406187903134906,0.2560565424028911,1.1456533952566679,-0.08296112036604048,-0.24522340264711762,0.16226228228107714,1.1902354844184448
4,1.1419815593403242,0.5767309104802998,0.5652506488600244,0.9009252605370774,1.018348278098769,0.9744052675348727,0.04394301056389627,0.29842511139061273
5,0.3164067043227489,0.2920575146308997,0.024349189691849238,0.056394557793699424,0.16168894761439923,0.21053098193217468,-0.04884203431777545,-0.18155937815526352
6,-2.0764823597783852,-2.076306982600963,-0.00017537717742222014,-0.0009197472174375554,0.5244692668416839,0.5794503232446395,-0.054981056402955586,-0.25996358316612694
7,0.2166482461875876,0.3546603322752446,-0.13801208608765703,-0.3431899261803633,0.7987030751391337,1.0115281877581321,-0.2128251126189984,-1.2428316121253487
8,1.822161851713263,2.108033903417049,-0.28587205170378605,-0.933968543592011,0.6629603950225427,0.808194973280264,-0.14523457825772135,-0.5016072312336904
9,1.9996789276131008,2.021002271829614,-0.021323344216513274,-0.0462828005762154,1.3111713634502689,1.4961825057634006,-0.18501114231313176,-0.8811795105217302
10,0.6423358604738093,0.7464822810577398,-0.10414642058393053,-0.3117923876015208,0.9091747135704233,0.9746942678762731,-0.06551955430584977,-0.46409183499359613
11,1.2789432883530931,1.9676630488240374,-0.6887197604709443,-1.9606976991039455,0.306230232333373,0.4677887061120793,-0.1615584737787063,-1.0096344165101216
12,0.33299418727850333,1.0831998943670462,-0.7502057070885428,-2.8314778390838162,0.47600207674890516,0.5527394757253842,-0.07673739897647902,-0.5736234036249755
13,0.6321941826624122,1.4028643380805734,-0.7706701554181612,-2.2636893811031533,0.13478191738589745,0.3253867835778763,-0.19060486619197886,-1.0917161338434815
14,0.9297172070039694,1.4117451885275814,-0.4820279815236119,-1.5788977957733314,0.6232403344361717,0.6923102384016441,-0.06906990396547241,-0.32261753721986225
15,0.6531871136214337,1.5086956547258608,-0.8555085411044271,-1.9909652360740901,0.09346594067788036,0.2569313532186518,-0.16346541254077143,-0.5182489295464304
16,0.33558696375601765,1.3756334279337825,-1.040046464177765,-1.859147024754651,-0.5713014470663793,-0.25719099528820283,-0.3141104517781765,-0.9776022176635399
17,0.4913690064563695,1.5723483523979112,-1.0809793459415418,-2.025041427440474,0.13420577557112284,0.41120386630739736,-0.2769980907362745,-0.8578320790563757
18,0.16726253172025007,0.9060863386733984,-0.7388238069531483,-1.739316279587604,0.06773781447763805,0.09863455271432572,-0.030896738236687676,-0.08217024452232043
19,0.02014057544167458,0.191413444800627,-0.17127286935895242,-0.42162338773760805,-0.16512531191482094,-0.28110265367542386,0.11597734176060293,0.27957463861550846
20,-0.07322224836632052,0.6153605447131196,-0.6885827930794401,-1.5092017390542027,-0.15480114302129727,-0.38310563497348854,0.22830449195219127,0.44813337974441464
21,0.07326913233837595,0.5938802289630656,-0.5206110966246896,-0.9060052144190683,0.2954835889056869,0.036835320953766126,0.25864826795192075,0.4247339292065054
22,0.6086572151570153,1.259068447294596,-0.6504112321375808,-1.1076077233635317,1.5096827055852353,1.384065467385163,0.12561723820007242,0.21242344874638325
23,0.8620423442138397,1.6874357954989896,-0.8253934512851498,-1.1917205605246082,1.5252701108354987,1.3704964274818912,0.15477368335360753,0.3280463295092364
24,1.4289812475304333,2.2656680602431902,-0.8366868127127569,-1.1493977294636808,1.1089514181193985,0.8495331886966779,0.2594182294227205,0.463739489833849
25,1.3333969568828525,2.3310298092953246,-0.997632852412472,-1.1788749613755682,0.9485462644581049,0.6980677006794165,0.2504785637786884,0.40032853811311925
26,0.4120761174218228,1.7746644889000671,-1.3625883714782443,-1.7975428273277234,0.8562170943214459,0.6450566829612189,0.211160411360227,0.38914960052886116
27,0.7039190799748918,1.7212759401794508,-1.017356860204559,-1.5553360682564805,0.986304390287555,0.7747376719503525,0.21156671833720253,0.3987398087475012
28,0.3418165587489739,1.380601430609554,-1.03878487186058,-1.5508081565413911,0.7672403822200743,0.4997690732374702,0.2674713089826041,0.500364536704202
29,-0.47122104884637944,0.5798493799843484,-1.0510704288307278,-1.37385027909354,1.086105078353317,0.852147766523942,0.23395731182937507,0.4310343841834786
30,-0.7083235769228465,0.13851504166395354,-0.8468386185868001,-1.4216048576055116,1.1490947527754323,0.7977721576290957,0.35132259514633657,0.6215877078103696
31,-0.9420317553589654,-0.25411555820272813,-0.6879161971562373,-0.8377543956588149,2.5988744492263236,2.191939752044007,0.40693469718231645,0.7439336558544462
