layer,acc_orig,acc_shuf,diff_orig,diff_shuf,survives_pct,dz_orig,dz_shuf,NNNF_mean_shuf,SSSF_mean_shuf,Nuser+Sassist_mean_shuf,Suser+Nassist_mean_shuf
0,0.9468749999999999,0.8718750000000001,10.843606577541262,7.7667744789572355,71.6253805725799,2.6472589827274784,1.725526464673733,0.020886572839377494,7.787661051796613,7.965088403689611,-0.43712645690005303
1,0.971875,0.875,11.308439460343338,5.077376073403793,44.898998586049274,2.6637298814163537,1.7261669804562918,1.6528974123896578,6.730273485793451,6.885573048211232,1.3095316969171527
2,0.9875,0.696875,6.987945511153479,2.8909122423312246,41.36998832800043,2.5236494530158327,1.545872088762346,0.0206546042768041,2.9115668466080296,2.8456370958679438,-0.19512272313028928
3,1.0,0.7312500000000001,8.234091546632921,3.314219366917507,40.24996987400213,2.546057889102902,1.2573848931459977,0.031383891346653134,3.3456032582641604,3.6318025503759856,-0.6201389723361055
4,1.0,0.7031249999999999,7.26874323300238,3.0466468987050335,41.914355770228596,2.5531806401322354,1.1907108156298152,0.10378428126323876,3.150431179968272,3.3750531476162386,-0.21570886374844161
5,1.0,0.61875,4.872425024138091,2.417170158190355,49.60918118217614,2.1253624417241577,1.1331749764145203,-0.655389892373281,1.7617802658170743,1.5537452436149295,-0.6918022500688057
6,1.0,0.609375,1.5540218593379844,1.6547294812196387,106.4804507913779,1.3399535912868088,0.8336089288580832,-0.7660612289853301,0.8886682522343087,0.7743875740068902,-0.7926117892806558
7,1.0,0.721875,1.9636252683541364,1.8980548801335266,96.66074839851856,1.6646706721619575,0.753790040348534,0.49246499284444517,2.390519872977971,2.4465501954675872,0.591459434857958
8,1.0,0.7749999999999999,1.2976720773260992,1.9474842892133186,150.07522495407167,1.225151682021505,0.7554367320975257,0.6725487536647294,2.620033042878048,2.619095006031905,0.6231989139676706
9,1.0,0.828125,1.7634828818969865,1.378670144826928,78.17882209006115,1.5054946015846569,0.5379572175068396,0.6485354840261162,2.0272056288530447,2.2204399717678007,0.19948453692506984
10,1.0,0.8625,1.1154091805124597,1.4831681165921893,132.9707646758625,1.1254477091594872,0.6424902217840368,0.6133054495261567,2.096473566118346,2.232074484547771,0.20339503553179128
11,1.0,0.846875,1.2571911287424167,1.5736300845719347,125.17031409106869,1.075996705818346,0.5822842373217957,-0.05116613913947088,1.5224639454324642,1.5987511831698942,-0.511654360219487
12,1.0,0.8125,1.2778844341028444,1.873693631537717,146.62465411852116,1.1453534604733693,0.6414812644574226,-0.006271741574954692,1.867421889962762,1.7645822042474901,-0.1222902610485999
13,1.0,0.765625,0.8897710289742277,1.7603653040177587,197.84475406523356,0.8013122537760219,0.6233594685731,0.32186686597463815,2.0822321699923974,1.8729600313307728,0.11427839081311493
14,1.0,0.740625,1.0965823007111415,1.7714807640471537,161.54562798417734,1.2145659270091222,0.6592797489565944,0.2083285453733467,1.9798093094205007,1.7465550293198686,0.0405119304008311
15,1.0,0.778125,1.4467948847683165,1.954058868428104,135.061223190668,1.8207405173416702,0.6734649155259852,0.4430263286327822,2.3970851970608864,2.1859929099132387,0.35769172877300165
16,1.0,0.796875,1.1018937987028745,2.056278232300068,186.61310506699232,0.9179006924058227,0.6956094414701299,-0.0517635308571339,2.004514701442934,1.5580338880546742,-0.032029874111825764
17,0.996875,0.8156249999999999,1.018175931883956,1.8249212856626293,179.23437674331316,0.8453895666200361,0.6721178853474158,0.42006601982558944,2.244987305488219,1.7687626888899068,0.23430675432089848
18,0.996875,0.80625,1.7769299377537,2.0272281089581776,114.08598987987627,1.4724624426108903,0.7703296510461604,-0.5078818940087423,1.5193462149494348,0.8253090344222025,-0.5821351144804146
19,0.996875,0.80625,1.4112478637166948,2.192514108993585,155.35995946306195,1.3628884729585151,0.8383638193774331,-1.1361637981514103,1.0563503108421743,0.5039429942754989,-0.9303860167541419
20,0.996875,0.81875,1.8812667546218236,2.059992779806172,109.50030211001503,1.2341195047674267,0.8227446513884901,-1.0180314693173116,1.041961310488861,0.606017925903629,-0.8734470681836004
21,0.996875,0.859375,1.9957744431290592,1.9812077710331923,99.27012432962972,1.3543985048224305,0.7636225170951477,-0.7527516605849041,1.2284561104482887,0.7323972794643725,-0.8297728725619112
22,0.984375,0.840625,2.276053978772147,1.423421063884433,62.53898532987867,1.4214432162985904,0.6328707699077976,-1.1989113412465644,0.2245097226378686,-0.04536835052473938,-1.5699018592066265
23,0.99375,0.834375,2.31667262649303,1.2787993083143632,55.19982813671022,1.7710316913137187,0.5199895193536161,-0.9937441181244273,0.28505519018993575,0.2318183819979441,-1.6807532096578073
24,0.996875,0.8125,2.40460241669919,1.6074836802979953,66.85028964183594,1.9598149619064344,0.6093385156743265,-0.7002429017434673,0.9072407785545279,0.7748573695996094,-1.5219373618856307
25,0.996875,0.846875,2.490016301516379,1.8990367092774947,76.26603521113546,2.049759495236061,0.7035522674965062,-0.27694984412477214,1.6220868651527227,1.4412776657235598,-1.0500239127209805
26,0.996875,0.815625,2.696866194033298,1.6385111580539078,60.75611617955108,2.4987454390630655,0.6506372813570808,-0.25733036590474573,1.3811807921491621,1.2239880573226867,-1.150368129113021
27,0.996875,0.85625,3.7095497529236754,2.141046806792102,57.71716109494527,2.9299976707421154,0.83348280665312,-0.9239092184967234,1.2171375882953783,1.1146334464368892,-1.5339795013006792
28,0.990625,0.80625,3.491153327004459,2.184874082378126,62.58316028339065,2.535019783871295,0.7419949310142836,-0.6072890514907876,1.5775850308873385,1.3857878517115954,-1.4186348810961515
29,0.990625,0.83125,2.565769807472288,2.473918764595611,96.42013704389305,1.9214348781622028,0.7739730539129116,-0.6571846276013631,1.816734136994248,1.598573763598982,-1.519057159364483
30,0.978125,0.784375,4.165977999073396,2.280469704289869,54.74032039528522,2.0530311233574947,0.7790904003185151,-0.21100204936540146,2.069467654924468,2.0187712194695897,-0.991888048113216
31,0.975,0.86875,3.9555650028475298,2.6241849850028474,66.34159679119799,2.0741853136996653,0.9393821716218714,-0.004692664801357082,2.6194923202014904,2.269083165527758,-0.813906092781998
