position,turn,layer,n_pairs,SSSF_mean,SSSF_sd,NNNF_mean,NNNF_sd,HHHF_mean,HHHF_sd,SSHF_mean,SSHF_sd,dz_SSSF_NNNF,dz_HHHF_NNNF,dz_SSHF_NNNF,dz_SSHF_SSSF
eot_u_1,1,0,160,7.6652377922288055,3.050472590097963,4.471412903690089,1.7634571232826837,-6.394236431681126,1.9582643456069553,7.6683864299820215,3.028002721543938,1.0950805120859466,-3.893385626786524,1.103423818798208,0.05508809009581492
eot_u_1,1,1,160,8.16583586031355,3.4638530367784446,-0.03376853561614608,2.8402094638439896,-6.163923981579502,0.9555706331593844,8.155846785839664,3.4933523074703543,2.619820446115237,-1.9631354551241127,2.587673028696726,-0.11525594030006399
eot_u_1,1,2,160,7.371940097033156,1.515099029196373,-3.9133926192073174,2.119359294569782,-6.546425396269379,0.8436205523007344,7.371801208190026,1.5226486045105767,5.883077093227167,-1.1873864438571842,5.8607763601801235,-0.002610792130456047
eot_u_1,1,3,160,7.211010269096488,1.0314147721994995,-5.865029318576086,2.463856817444689,-6.677642853330747,0.9837896282910553,7.220912983807892,1.0357028026847133,4.726173474736881,-0.28790757429595226,4.730079624385632,0.31440756848643286
eot_u_1,1,4,160,7.24683042412227,0.8636288358454769,-5.101755675196658,4.173598823918841,-6.793884894431426,1.159455090566395,7.244110566376503,0.8734609723716389,2.7357695724801117,-0.3533227947861178,2.730416334834633,-0.080986700922647
eot_u_1,1,5,160,7.393123776044516,1.0054507735213236,-4.7290008947613975,4.144702791504982,-6.990335058524546,1.3826738096633844,7.392540824826774,1.0084967524513362,2.6734066116582498,-0.46516163665486426,2.6715787308262278,-0.021229486077712394
eot_u_1,1,6,160,8.5366181981757,1.3331376447287007,-3.0760878591353764,2.3806041788660206,-7.45576957379333,0.8592761547040998,8.54206142807349,1.3305461179073717,3.3969334697763838,-1.6150972465151265,3.405191070390146,0.1801994867855972
eot_u_1,1,7,160,8.318195097054675,0.7409971612366937,-1.8758579246344838,3.096285353331885,-7.44245080270196,1.264869093661315,8.322384936404138,0.7401512667830189,2.9017788060001988,-1.4438743157655074,2.9083232347140777,0.17609207008566696
eot_u_1,1,8,160,8.255887149462069,0.844653124245754,-1.2417910723776717,2.875713025446036,-7.51644856822778,1.5117276600548952,8.262507678635966,0.8364753925171173,2.85874873087334,-1.756880370478612,2.867801593804373,0.24539098144594387
eot_u_1,1,9,160,8.081120278830706,0.7719295186407705,-1.9219073727355933,2.804672156811582,-7.462957578058902,1.1011323691747579,8.08901666056506,0.7630063379131371,2.986865820279565,-1.569927864101631,2.9977130991291987,0.2604606112626301
eot_u_1,1,10,160,8.262001680713304,0.9150297137215843,-2.37107636306899,2.948541056307973,-7.5537341696171065,0.8966466635947288,8.263369278350302,0.916205034050525,3.178846257909508,-1.4725175418037821,3.178727451270127,0.05358191290107101
