layer,eot_u_3_heldout_acc,SSSF_mean,SSSF_sd,NNNF_mean,NNNF_sd,HHHF_mean,HHHF_sd,SSHF_mean,SSHF_sd,dz_SSSF_NNNF,dz_HHHF_NNNF,dz_SSHF_NNNF,SSSF_user__NNNF_assist_mean,NNNF_user__SSSF_assist_mean
0,0.9468749999999999,12.77533627647052,4.4231136635945045,1.9317296989292607,5.156715094620318,-2.800722021275579,5.248949497074002,6.799787589135093,4.027844729614136,2.6472589827274784,-0.882909044224395,0.8597111218713541,1.0906391393205688,13.244460223401967
1,0.971875,9.609976868519306,5.475102855314476,-1.6984625918240326,5.860478651656605,-4.939077502690045,6.640652221944299,4.086568591053762,5.840804196021157,2.6637298814163537,-0.6223502630889549,1.0395763850208035,-1.7006219650672172,9.664588853800115
2,0.9875,3.411744526311466,3.1880966191768163,-3.576200984842014,4.780280704079852,-4.887136111497417,4.67000427774982,0.56069437908069,3.843862605368136,2.5236494530158327,-0.4296859230996727,1.228450662647261,-3.463962473817216,3.4053270884362936
3,1.0,6.370754099363725,2.3006909101657316,-1.8633374472691966,3.705099809297825,-2.670218421549205,3.443386740929447,3.5725739247598804,2.9553195027668,2.546057889102902,-0.22519686354739613,1.5107391361495859,-1.2700135160454593,5.879274989202135
4,1.0,9.84042227028733,1.529543535795686,2.571679037284949,3.1637483522172745,2.3919444861860137,2.755369093817041,7.571913499287069,2.1454017634836235,2.5531806401322354,-0.05495050615604642,1.582086563942255,3.523453949646015,9.051808285056016
5,1.0,8.044249905787137,1.398865066804712,3.1718248816490453,2.5246073468789954,2.6372282889629814,1.7937736195825478,6.205698692212035,1.3792986305219046,2.1253624417241577,-0.17151838793285348,1.080439686382035,3.286720397364916,7.36631799803005
6,1.0,1.119229747020834,1.907523225522727,-0.4347921123171501,2.8301869650257268,-0.8304599497395264,2.015386538919552,0.44550954850575064,2.083160124963524,1.3399535912868088,-0.29517309210657905,0.74390644335977,-0.48526361818264674,1.0933482908541083
7,1.0,3.5001946984698193,2.354859534254306,1.5365694301156823,2.95009785754251,1.1832142801507977,2.2839442674337334,2.7930895547097565,2.4309384597797354,1.6646706721619575,-0.26847140277650655,0.9435531223144538,1.9601585533695407,3.2328863375241235
8,1.0,2.7653694722350606,2.186954881490014,1.4676973949089618,2.5223155219800812,1.248710028305339,2.2866631947761475,2.2804638510157877,2.2850930846632065,1.225151682021505,-0.19085039644759613,0.717060405675021,1.4523732640438471,2.8390277946743803
9,1.0,0.41809593281892143,2.126690396709188,-1.3453869490780652,2.5833541767719477,-1.376691988838179,1.960850280841428,-0.15695879681171884,2.161460656099989,1.5054946015846569,-0.025200965421859546,0.8945621184025697,-0.8260648078868538,0.21777735511954627
10,1.0,2.299993808313387,1.9430086091391865,1.1845846278009273,2.086755604062516,0.8038056455944759,1.9118113421293206,1.6569494547083887,2.00681182459821,1.1254477091594872,-0.4217626470183405,0.4833494030322588,1.3455208273694708,2.5605035521830652
11,1.0,1.90042364079887,1.3334319704408397,0.6432325120564533,1.986521730809081,0.16050375123980282,1.7396791575869917,1.442442651169571,1.3455248162895213,1.075996705818346,-0.5714423987785207,0.7363290310549613,0.6655773027338094,2.1696742759825685
12,1.0,0.6819298722498994,1.9582810808170192,-0.5959545618529448,2.4089728295891852,-1.4831189640319664,1.970518670784494,-0.14291878306841754,1.8488084596460193,1.1453534604733693,-0.9730364757834224,0.4192917627796878,-0.7780811529352939,1.1697570824494676
13,1.0,0.5053360165177776,1.6356551720981822,-0.38443501245645023,1.8874349447012497,-0.9706360673830361,1.4761767225012457,-0.06226410694296698,1.4844093343553575,0.8013122537760219,-0.7335432214592023,0.31478083380979144,-0.38714979699184937,0.9889414443950638
14,1.0,0.9659548958293147,1.8151588323634726,-0.1306274048818267,1.6991444367010313,-0.5990460447263601,1.4211251496485189,0.17263359726685562,1.4610131245625355,1.2145659270091222,-0.521536808351437,0.33012164264766775,-0.5946849713544952,1.3147308701793248
15,1.0,0.6152916851489623,1.4754928177120537,-0.8315031996193543,1.3709371041567966,-1.1059987791110595,1.1738770449798492,-0.07875654251478519,1.2575432126560242,1.8207405173416702,-0.45654515873124324,0.9872295180604298,-0.7461658108445661,0.810437344890451
16,1.0,-0.36202028249156487,1.9584142117246832,-1.463914081194439,1.5944028406362258,-1.9093661477619066,1.520190524362083,-1.0329648453728093,1.4963261569944148,0.9179006924058227,-0.5620184378367675,0.47524961102848745,-1.6247447554820695,-0.004362980869691668
17,0.996875,0.9360078958268059,2.695379688259712,-0.08216803605715013,2.106481728583725,-0.5120656427637278,2.2254256814370827,0.2377346002369542,2.1308135635565417,0.8453895666200361,-0.485124175678641,0.33073145897685596,-0.3166058682948904,1.2806748911523778
18,0.996875,1.441253999474948,2.0874903110755243,-0.3356759382787521,1.5888907175326639,-0.7957734636632547,1.6863695461344537,0.283017094521343,1.396481176521179,1.4724624426108903,-0.46623042493303357,0.5716657319761498,-0.4679380501937226,1.5518733127742057
19,0.996875,0.263791741679381,2.277435116836686,-1.1474561220373136,1.6814617827588259,-1.4520808981009914,1.9104906856330106,-0.5726941762096205,1.6377201930669674,1.3628884729585151,-0.37515713211899,0.7442438946685634,-1.135117901075629,0.432657095051358
20,0.996875,0.2953573739286394,3.300135599268337,-1.585909380693184,2.510020308473406,-1.9226010214378177,3.035296044563576,-0.5851069740591897,2.3993384230455406,1.2341195047674267,-0.2779070893462843,0.9190254435450553,-1.2948518170977157,0.5429914851351658
21,0.996875,0.9899264145581121,2.764331190729032,-1.0058480285709472,2.0288271410470236,-1.2755418949187292,2.278506531647454,0.052748921701246766,2.052536605838831,1.3543985048224305,-0.2595751752346421,0.9989592037330345,-0.6026123683194188,0.9935363940674021
22,0.984375,1.7533605086469504,3.6144310269332927,-0.5226934701251965,2.720793652239279,-0.6359068280166766,3.2080968040649163,0.5955197250250339,2.942258692370473,1.4214432162985904,-0.0970898144178585,0.9651255084733256,-0.5075830390999754,1.5495413274612053
23,0.99375,2.0364378348551258,2.8394259012360377,-0.28023479163790393,2.4859491130762144,-0.38352275899424415,2.914388878281405,1.1053105404804857,2.429185817136827,1.7710316913137187,-0.08042116902976397,1.144078836522406,-0.28956970818621386,1.7353118609162668
24,0.996875,2.514248972773028,2.6413322751267674,0.10964655607383893,2.319509243531174,0.015204621278825136,2.6840021994338996,1.5215580352366547,2.2707293682430305,1.9598149619064344,-0.07953544689379916,1.2160193558539538,-0.002949315250198836,2.2145063337135626
25,0.996875,2.158090392813869,2.461268479927357,-0.33192590870251004,2.21777527110399,-0.2941443477188425,2.4565505970078534,1.1533763694367694,2.0792459272224626,2.049759495236061,0.02970563058163919,1.2019110229541685,-0.6000696903306102,1.8040499642718533
26,0.996875,3.0076839533212008,2.462297338170478,0.31081775928790323,2.2506128392261244,0.6018365003483865,2.5060066790499884,2.017928189041455,2.2624293927679573,2.4987454390630655,0.22730485282082585,1.2452045209381906,0.1545802171907388,2.4444804840589884
27,0.996875,2.075692930438225,3.3308715748870568,-1.6338568224854502,3.416818613228364,-1.402875927128386,4.042377326923514,0.8035831297160667,3.0683830602351625,2.9299976707421154,0.13699346716645927,1.3917422941357234,-2.0432012532212793,1.4665254691714984
28,0.990625,1.380361936874975,3.2978572720336166,-2.110791390129483,3.4905385639326503,-2.0971364289592502,3.835088995106756,0.29146174520280593,2.8614733526551617,2.535019783871295,0.008127461083893913,1.3801285296337473,-2.090751452893567,0.7836202470374658
29,0.990625,1.6615532892350373,3.2221783761001745,-0.9042165182372509,3.263776477894883,-1.0159667019783734,3.8542602029588475,0.8320550208953679,2.8692614313475375,1.9214348781622028,-0.0728831586700484,1.134296949586993,-1.0831446407538898,1.0631349590618626
30,0.978125,2.446310231163003,3.3945774596060483,-1.719667767910393,3.8412969682619935,-1.7726511327757024,4.213170260455603,1.1266748998794245,3.3997461143559824,2.0530311233574947,-0.024237169560653814,1.1598467432518582,-1.6204321915159816,1.4984658903546548
31,0.975,2.7810852138885807,2.8302990413286095,-1.1744797889589491,3.563991825797307,-1.301543166023566,3.8439196631931654,1.9099909002400004,2.7910251715279517,2.0741853136996653,-0.06269603826954964,1.3632782214257078,-0.9481539063453107,2.069066499906938
