perturbation,prefix_id,layer,diff_B_minus_C,clean_diff_B_minus_C
a_token_shuffle,NNNF|health|a|00,11,0.3848880495378433,0.3263221010707372
a_token_shuffle,NNNF|health|a|00,12,0.5093500270139186,0.3362789590511479
a_token_shuffle,NNNF|health|a|00,13,0.5087627497923655,0.2445884935300881
a_token_shuffle,NNNF|health|a|00,14,0.3001831450892374,0.2923583098307953
a_token_shuffle,NNNF|health|a|00,15,0.26927441123039997,0.3019367195176059
a_token_shuffle,NNNF|health|a|00,16,0.39223790652143364,0.2661679286965244
a_token_shuffle,NNNF|health|a|00,17,0.5041477824853928,0.1902695946517876
a_token_shuffle,NNNF|health|a|00,18,0.47277242891242777,0.3538185827430216
a_token_shuffle,NNNF|health|a|00,19,0.39539076495861547,0.3034172364361505
a_token_shuffle,NNNF|health|a|00,20,0.30122068105974176,0.2236901270012898
a_token_shuffle,NNNF|health|a|00,21,0.22153651381080897,0.1522882903480027
a_token_shuffle,NNNF|health|a|00,22,0.4426007603741915,0.2126810068887892
a_token_shuffle,NNNF|health|a|00,23,0.7535031627299733,0.3525874324797314
a_token_shuffle,NNNF|health|a|00,24,0.5006407287094092,0.2355647792958091
a_token_shuffle,NNNF|health|a|00,25,0.6152581090083239,0.3180879434442598
a_token_shuffle,NNNF|health|a|00,26,0.7252519969067293,0.3160499438712763
a_token_shuffle,NNNF|health|a|00,27,0.8206238093660042,0.4571033165764318
a_token_shuffle,NNNF|health|a|00,28,0.7159399450047444,0.3730802143724357
a_token_shuffle,NNNF|health|a|00,29,0.6808720252281097,0.3377320512824946
a_token_shuffle,NNNF|health|b|00,11,-0.28935608742865765,0.6359644128125935
a_token_shuffle,NNNF|health|b|00,12,-0.24101804894433076,0.494762139204749
a_token_shuffle,NNNF|health|b|00,13,-0.2081208364706244,0.5275045132256779
a_token_shuffle,NNNF|health|b|00,14,0.06501284157748666,0.2509611984338844
a_token_shuffle,NNNF|health|b|00,15,0.0315917464517268,0.3440303114069629
a_token_shuffle,NNNF|health|b|00,16,0.03857084280726797,0.3385739552655473
a_token_shuffle,NNNF|health|b|00,17,0.16156090490204433,0.2475974593679631
a_token_shuffle,NNNF|health|b|00,18,0.2784055588245876,0.4473513325260112
a_token_shuffle,NNNF|health|b|00,19,0.08260117561014413,0.3007885278742828
a_token_shuffle,NNNF|health|b|00,20,0.06220864019262562,0.4339958988623345
a_token_shuffle,NNNF|health|b|00,21,0.07695932413208295,0.34631670409404
a_token_shuffle,NNNF|health|b|00,22,0.4247192131516613,0.3886849466667738
a_token_shuffle,NNNF|health|b|00,23,0.8361038698213827,0.5517994733829757
a_token_shuffle,NNNF|health|b|00,24,0.3616918688193298,0.5252746706534526
a_token_shuffle,NNNF|health|b|00,25,0.5065581940699984,0.5241294992530399
a_token_shuffle,NNNF|health|b|00,26,0.4483061116936762,0.6515061982433794
a_token_shuffle,NNNF|health|b|00,27,0.672017722335993,0.724404936843757
a_token_shuffle,NNNF|health|b|00,28,0.7926430544718707,1.0540948010725335
a_token_shuffle,NNNF|health|b|00,29,0.6192389098366746,1.0929854123353913
a_token_shuffle,NNNF|tech_support|a|00,11,-0.012295283275830432,0.216526888298242
a_token_shuffle,NNNF|tech_support|a|00,12,-0.12134806352378691,0.2866626439686508
a_token_shuffle,NNNF|tech_support|a|00,13,-0.0507618570733519,0.280148610509114
a_token_shuffle,NNNF|tech_support|a|00,14,-0.05341855145398755,0.1702024795055685
a_token_shuffle,NNNF|tech_support|a|00,15,0.1884370990154678,0.4245430865182551
a_token_shuffle,NNNF|tech_support|a|00,16,0.21948323901746702,0.3418206695091723
a_token_shuffle,NNNF|tech_support|a|00,17,0.14487660390747115,0.4601715416226861
a_token_shuffle,NNNF|tech_support|a|00,18,0.1051122858509399,0.1487426552237889
a_token_shuffle,NNNF|tech_support|a|00,19,0.10040742864635721,-0.0862816238787353
a_token_shuffle,NNNF|tech_support|a|00,20,-0.011369453326512513,-0.3899187982547216
a_token_shuffle,NNNF|tech_support|a|00,21,-0.08757843272428101,-0.1440985901725686
a_token_shuffle,NNNF|tech_support|a|00,22,-0.08673360281087295,-0.0894345027356386
a_token_shuffle,NNNF|tech_support|a|00,23,-0.08399030287883358,-0.0395050005260246
a_token_shuffle,NNNF|tech_support|a|00,24,-0.05019744869902132,-0.0149383185964544
a_token_shuffle,NNNF|tech_support|a|00,25,-0.1393627550067369,-0.0509850934522593
a_token_shuffle,NNNF|tech_support|a|00,26,-0.15103306300387476,-0.2196938960821099
a_token_shuffle,NNNF|tech_support|a|00,27,-0.13678379845624988,-0.2084640860939375
a_token_shuffle,NNNF|tech_support|a|00,28,-0.1873854703191773,-0.3158819146876297
a_token_shuffle,NNNF|tech_support|a|00,29,-0.2309549072753958,-0.3857548830864177
a_token_shuffle,NNNF|tech_support|b|00,11,0.20521163431123401,0.0633673213516363
a_token_shuffle,NNNF|tech_support|b|00,12,0.00975303970629593,0.1265820042299723
a_token_shuffle,NNNF|tech_support|b|00,13,0.038226126423912765,0.1156123112588769
a_token_shuffle,NNNF|tech_support|b|00,14,0.05127147084254258,0.2202038488282758
a_token_shuffle,NNNF|tech_support|b|00,15,-0.06330451950182248,0.2548253009670889
a_token_shuffle,NNNF|tech_support|b|00,16,-0.023465999490392075,0.345220292936153
a_token_shuffle,NNNF|tech_support|b|00,17,-0.10874682387174506,0.3292218953256345
a_token_shuffle,NNNF|tech_support|b|00,18,-0.2630045431163266,0.3979794597551849
a_token_shuffle,NNNF|tech_support|b|00,19,-0.24058839576721347,0.2764142474911146
a_token_shuffle,NNNF|tech_support|b|00,20,-0.34743621136571434,0.427420547273952
a_token_shuffle,NNNF|tech_support|b|00,21,-0.23383094450298092,0.2801236461023695
a_token_shuffle,NNNF|tech_support|b|00,22,-0.4305950576559354,0.3498687114262697
a_token_shuffle,NNNF|tech_support|b|00,23,-0.20915302341272834,0.3074837974841879
a_token_shuffle,NNNF|tech_support|b|00,24,-0.1492426353879872,0.400344568981382
a_token_shuffle,NNNF|tech_support|b|00,25,-0.21547586649980222,0.3305131299098147
a_token_shuffle,NNNF|tech_support|b|00,26,-0.1727519352849618,0.3324644820246845
a_token_shuffle,NNNF|tech_support|b|00,27,-0.35172853785195723,0.1455497847302655
a_token_shuffle,NNNF|tech_support|b|00,28,-0.27628827765640995,0.0312113613223088
a_token_shuffle,NNNF|tech_support|b|00,29,-0.18891375020791834,-0.2644265757056101
a_token_shuffle,NNNF|travel|a|00,11,0.10856787581362415,-0.0386656921565713
a_token_shuffle,NNNF|travel|a|00,12,0.24157643105366033,0.2230198936340204
a_token_shuffle,NNNF|travel|a|00,13,0.2551583037194546,0.0310316571843315
