probe,strength,layer,A,B,C,D,E,sd_A,sd_B,sd_C,dz_B_C,dz_B_A,dz_C_A,dz_D_A,dz_E_A
P1,0.25,0,-2.7300649811475077,-2.6687639748809193,-3.0569353105696053,-2.6633926635431795,0.9138400173137949,1.8942910186832402,1.6336135168032226,2.2291032991619875,0.16533200872017859,0.03452222306819054,-0.17700205014481388,0.03163250204137732,1.9411958930983804
P1,0.25,1,3.417148018198696,3.5651481353338794,3.672532793890594,2.988794481964542,1.058498665046698,1.5581750211206584,1.5530600835244128,1.6869417653587688,-0.13563500945940885,0.16541120114967783,0.22031732227736645,-0.4404736931625501,-1.5985770233621808
P1,0.25,2,1.3794009305625212,1.5109747523883423,1.4933673765945206,1.1939845096415262,-0.31976979067221195,1.1203226908533055,1.1786695903714002,1.1666520394962332,0.037762992923924134,0.2702442643003241,0.2149192946937162,-0.33456754096326036,-2.0852140920409203
P1,0.25,3,0.3111822603976047,0.3759880208229366,0.39119208761078417,0.3500482562984891,-0.11610937407658836,0.4226834242119568,0.45993069838051226,0.4819805851237307,-0.05054123863682757,0.24447228039616017,0.3472140932230836,0.12553756866380533,-1.1504783127924274
P1,0.25,4,1.5524060607921908,1.6925973132553378,1.591712647343406,1.6640223501858074,0.9333950764558843,1.20796587345346,1.2204465820951367,1.3595641550531812,0.1399817887331338,0.2896909562714519,0.05506644714664828,0.16441380365823438,-0.8902698332534101
P1,0.25,5,0.5854072808279756,0.6217357741643113,0.6728749051212227,0.7087501785337788,0.6153269243696629,0.682537693785669,0.7188079881206887,0.7901667293526546,-0.08378803686619204,0.08737112742970383,0.19965969639609854,0.27616460397355136,0.0769954775360265
P1,0.25,6,-0.9002464330581924,-0.9053366329751859,-0.8494382460101999,-0.8873429137381695,-1.205906978395353,0.22061712711994608,0.20445860806677973,0.23114749671657164,-0.45571921223603984,-0.06284980484122758,0.3754027956433089,0.0953439058905662,-2.032863306974659
P1,0.25,7,1.5799901378759553,1.582868107072545,1.6104307709726935,1.621139057443207,1.1879835690035256,0.20112871361270235,0.19123313260754107,0.2565045332380102,-0.19713386142833508,0.03564042536919205,0.21935529583958255,0.3515037737435451,-2.392748925223846
P1,0.25,8,2.8770824434046203,2.8696837764093184,2.884141446244953,2.9004708716707657,2.566558189653043,0.25482505789264864,0.25932944489010434,0.2806881089452934,-0.11237627282404311,-0.06160299666232966,0.04286509911119902,0.1562367860686695,-1.747438932285023
P1,0.25,9,2.59180361489868,2.6054104326880685,2.583944678039516,2.622305808455083,2.4833480869666595,0.4092271905507362,0.390054263053843,0.4224853854260085,0.15154702264548184,0.12458961081202054,-0.05547882814352331,0.2204217774356958,-0.6145220307317503
P1,0.25,10,0.6928709380860065,0.7094292462481533,0.6726509757578472,0.6852244376007488,0.5102463722958936,0.2563278482503942,0.24786076240106947,0.31188347960798507,0.32423548231733557,0.15780946540113924,-0.16194835092343585,-0.06947633111861913,-1.3595542014653876
P1,0.25,11,1.6775614465414712,1.656296453358933,1.6496656547614943,1.6615561595771962,1.3856152885700557,0.10209053925754397,0.11225224180738334,0.10251079668065818,0.05921268232912793,-0.18820650096736027,-0.2755213349271116,-0.14376023435466434,-1.4775932209108713
P1,0.25,12,1.1625833619815147,1.1805889581284899,1.1728446340031948,1.1562617803840758,0.9002149294816372,0.24334664073347892,0.25703760924912616,0.2239612841569289,0.08344581453775593,0.16274040489859604,0.09351264209084344,-0.06321002314855088,-1.1489820520452392
P1,0.25,13,1.8558074091802266,1.8469438665838074,1.8699165001468745,1.8415589230394083,1.7131010585761026,0.2612164906722426,0.26153181575141327,0.25849839468794894,-0.2099065693702869,-0.08868299602496257,0.1220843120012287,-0.1103249658885286,-0.9585905411092769
P1,0.25,14,1.6033787724558732,1.6316905893247913,1.6075983719583373,1.633056964388151,1.6762696572170863,0.4861503096957854,0.47531740689704727,0.5005412285432066,0.2390348281662913,0.2490113710369877,0.04301394358958571,0.18989980909254228,0.3749222597855493
P1,0.25,15,1.0903240854321268,1.070319153661256,1.070338122693181,1.0989037753924507,0.9434204789261551,0.34253060412999703,0.3107655951444472,0.30550773055017627,-0.00017507558456257338,-0.15544955667177754,-0.2325769206566404,0.06194772206290317,-1.0854874400879924
P1,0.25,16,1.6095030566853648,1.5790887840597736,1.5755745308024018,1.5982418740054722,1.527349464190312,0.2203320788885934,0.21445680027518055,0.2092126679148293,0.02425220452485942,-0.2440714893336471,-0.24688240382016943,-0.08212186639739798,-0.47050936846597885
P1,0.25,17,1.7198713276507038,1.7245964537675558,1.6817818057192013,1.720580164035684,1.6274666301339227,0.19158984248688146,0.19954837775468495,0.2359988480718255,0.24460921935090293,0.0320174164859016,-0.22451646526485808,0.004534362678046746,-0.7236762456800899
P1,0.25,18,0.5633529290941464,0.5503412635505341,0.531709047428979,0.5194184829980282,0.5336201321916341,0.19755865279455884,0.20006303792997623,0.22354821677126477,0.16843862490010314,-0.12541660181581776,-0.24776998576930184,-0.2801121544665852,-0.2754870024967509
P1,0.25,19,0.24268129960279933,0.2691330860412551,0.19835900675583068,0.2356331986138605,0.1564574643553019,0.338095491801449,0.3352125208076979,0.34529890336123686,0.3697928684674028,0.14370991737210728,-0.2306438959570984,-0.040485385773523605,-0.5945622715929195
P1,0.25,20,0.6196513046222154,0.6646906810096572,0.4884155684189855,0.5135868537372652,0.3708771517874806,0.43172653135101874,0.42478722042706674,0.4890001560258405,0.6383675915313438,0.17423281224093282,-0.5003437027988551,-0.3287375168134563,-1.0978309310800236
P1,0.25,21,0.3314445109881474,0.31069449554740414,0.22392223890401217,0.24428456270304313,0.6540934081591304,0.4449452598348298,0.48223388399532763,0.5487337164241752,0.282525565739895,-0.06865815950125373,-0.39405944614572114,-0.27056006174569436,0.9535366783081733
P1,0.25,22,1.6105929718577752,1.624508004315572,1.4680991722986323,1.5344781102787457,2.1424471363773856,0.46039384200897493,0.532959041282467,0.5701815637718475,0.4359964662410769,0.04113831931547619,-0.5510923666949241,-0.16616538240600282,1.6564752716931352
P1,0.25,23,1.6951902487194626,1.6948740622090763,1.558511309662089,1.6030506879254354,1.8330198115141563,0.4272227700960062,0.5127441713202118,0.5474983091909539,0.41118559471616684,-0.0009404477382942925,-0.5200275301594709,-0.22647737794692427,0.5034720499498693
P1,0.25,24,3.6762275709118932,3.7034809230211962,3.508248368562724,3.5382705633351548,3.622504515639572,0.5103965597416197,0.6153120686937535,0.6134695175080913,0.5989617727221613,0.0877923929855321,-0.5712594738173388,-0.3307875047062654,-0.1941877659024494
P1,0.25,25,3.991600839214997,4.072929509184692,3.8429527391999407,3.8630648050660623,3.996532776678599,0.6357671892952298,0.7442567750040968,0.7680573606934878,0.6398130312892395,0.2430544358008493,-0.4703846849622964,-0.3152138486102086,0.013868498388956462
P1,0.25,26,3.6472672233230403,3.678335165185536,3.5191322729283967,3.5270819709330303,3.430386406816541,0.6236831196215671,0.7218731768809576,0.7596547345003,0.3956914429594813,0.08587165671596587,-0.38610371902379137,-0.30229341788420294,-0.6419163635449239
P1,0.25,27,3.933805843201317,3.951206453605657,3.829431227050722,3.8044080160421396,3.444138530579624,0.8584264233762099,0.9013754076790624,0.9802309280343654,0.3061110788942398,0.045309521176588013,-0.2742086288889434,-0.29631715294642047,-0.9702351300489515
P1,0.25,28,3.1133108173211808,3.0859552470103906,2.9927046459842237,2.95578079827399,2.9822724990166827,0.7331471906863619,0.7457890563147326,0.8265707427786968,0.2337384479797591,-0.06991434388600566,-0.33764571281774614,-0.3853163143207111,-0.2852576088530313
P1,0.25,29,1.70123548548136,1.781640008581182,1.6416312620521805,1.6278187226325609,1.9998605920794954,0.7248208046725915,0.748630575689989,0.8580174554514354,0.3335943862763144,0.18380111224875886,-0.16194321001536088,-0.19557605781235746,0.6245355056148455
P1,0.25,30,1.634197971368674,1.7434878623384702,1.646394927423914,1.6573883288880964,1.9242322702211747,0.6517710167818773,0.6055875258624717,0.7744051553710427,0.20774994231023616,0.2180415608983576,0.028215327382235828,0.06500230574995886,0.4297131002033782
P1,0.25,31,0.4870751329585025,0.6372418613127756,0.4525019819110125,0.4886802454152299,0.7030577483578087,0.6453094101961153,0.7099242967391035,0.7681574165347974,0.3586349597470357,0.30212000758672314,-0.07798229121325256,0.0038612823084415103,0.3787112791008018
P1,0.5,0,-2.7300649811475077,-2.324826759456815,-2.725774071362843,-1.9966168621117908,0.9138400173137949,1.8942910186832402,1.4503617514964615,2.0961271839743567,0.1915106164568268,0.200807075954163,0.0017454900649850784,0.2873056908808751,1.9411958930983804
