prefix_id,tfidf_A,tfidf_B,tfidf_C,tfidf_E,sentiment_A,sentiment_B,sentiment_C,sentiment_E
NNNF|health|a|00,-0.3508764953067176,-0.2721303424967593,-0.3226663631893288,-0.20354100339481673,-0.701131328009069,-0.6819183016195893,-0.7194173745810986,-0.6274064900353551
NNNF|health|b|00,-0.17761117896685974,0.07564774835184362,-0.2630691188283924,-0.30512833255768357,-0.8956230888143182,-0.8650404736399651,-0.8926156354136765,-0.8691236777231097
NNNF|tech_support|a|00,0.17856691840841396,0.32991764384719563,0.12245545781669907,0.32039490617898647,-0.5279444698244333,-0.5279444698244333,-0.5279444698244333,-0.5279444698244333
NNNF|tech_support|b|00,-0.13835026733469263,-0.03806623830820867,-0.18103687654524686,0.15228669936133227,-0.7085077948868275,-0.6572713563218713,-0.6593646402470767,-0.6823199475184083
NNNF|travel|a|00,0.22891147731626904,0.4407185717905258,0.3785988455605742,0.3839415094885018,-0.3969799838960171,-0.3969799838960171,-0.3969799838960171,-0.3969799838960171
NNNF|work|a|00,-0.00774090451392153,0.3140919948871997,0.025252264427474153,0.16774183195213357,-0.2565142810344696,-0.2565142810344696,-0.2565142810344696,-0.2565142810344696
NNNF|work|b|00,0.025157481215136848,0.504596260107679,0.07179641279101695,0.2634435262040374,-0.6273946072906256,-0.6273946072906256,-0.6273946072906256,-0.6273946072906256
NNNF|health|a|01,-0.2771177235887016,-0.2534892018991008,-0.3037831933150658,-0.1582034404757443,-0.47773411870002747,-0.5415472807362676,-0.5453022606670856,-0.4038461111485958
NNNF|health|b|01,-0.15876664298006615,0.06756620432269309,-0.1351813342930447,-0.14913029608135966,-0.840297163464129,-0.8019486353732646,-0.8256264342926443,-0.8632833696901798
NNNF|tech_support|a|01,0.1717482816103379,0.20002497636508398,0.16247580974794337,0.35361451551621215,-0.6037897616624832,-0.6037897616624832,-0.6037897616624832,-0.6037897616624832
NNNF|tech_support|b|01,0.07676694877008368,0.10108524290707531,0.09274167076816799,0.29228468232240346,-0.7180590340867639,-0.7180590340867639,-0.7180590340867639,-0.7180590340867639
NNNF|travel|a|01,0.29248057645880765,0.37557707210217117,0.25264823983581153,0.44217585724153563,-0.8838243903592229,-0.8838243903592229,-0.8838243903592229,-0.8838243903592229
NNNF|work|a|01,0.09485674604796271,0.27844950955685416,-0.016423003822612733,0.1483062886054401,-0.5562546262517571,-0.5562546262517571,-0.5562546262517571,-0.5562546262517571
NNNF|work|b|01,0.06918049462123224,0.2681379902573764,-0.0577961966438989,0.17527309106973268,-0.5769906910136342,-0.5769906910136342,-0.5769906910136342,-0.5769906910136342
NNNF|health|a|02,-0.3398263790904859,-0.3566951261741062,-0.3788823727583274,-0.21657551786455004,-0.6999296080321074,-0.6999296080321074,-0.6999296080321074,-0.6999296080321074
NNNF|health|b|02,-0.08170257459366928,0.013966538462510808,-0.04292945578805571,-0.20367678715938142,-0.812849604524672,-0.7908337158150971,-0.7996745887212455,-0.8094638530164957
NNNF|tech_support|a|02,0.16061690701834977,0.27232824809057254,0.10629119043479049,0.30532289132893353,-0.750520208850503,-0.750520208850503,-0.750520208850503,-0.750520208850503
NNNF|tech_support|b|02,-0.27583011207124125,0.06163993416463873,-0.2931047206634414,0.037791861075750596,-0.7934269281104207,-0.7477478082291782,-0.8027205090038478,-0.7357448535040021
NNNF|travel|a|02,0.42814221922913254,0.4567219212496135,0.3933501253653501,0.5107280892949606,-0.7567384787835181,-0.7567384787835181,-0.7567384787835181,-0.7567384787835181
NNNF|work|a|02,0.17508443872276547,0.17048225390513705,0.06751594294326693,0.19186742467298634,-0.6578926243819296,-0.6578926243819296,-0.6578926243819296,-0.6578926243819296
