method,strength,B,C,dz_B_C,dz_D_A,dz_E_A
TF-IDF on full transcript,0.25,0.04296935250758151,-0.008585336582954076,0.6840566992854805,-0.12291617658870369,0.25490776234358226
TF-IDF on full transcript,0.5,0.15052856007450005,-0.016087333807815733,1.273321720815645,-0.057890069547189955,0.25490776234358226
sentiment on full transcript,0.25,-0.6580247148056515,-0.6650228451006115,0.18973942139442365,-0.0388178492271337,0.4503547076578071
sentiment on full transcript,0.5,-0.6549570195726119,-0.6628777160425671,0.5095447487342349,-0.1554274205473509,0.4503547076578071
probe P1 L11-29,0.25,,,0.276562630298488,-0.1726882827046317,-0.30513187779357737
probe P1 L11-29,0.5,,,-0.0806291249723334,-0.27105085111348615,-0.30513187779357737
probe P2 L11-29,0.25,,,0.29306983975995266,-0.1452240662506123,-1.0726493329230014
probe P2 L11-29,0.5,,,0.8480810857022074,-0.07400831745116694,-1.0726493329230014
