arm,topic,phrasing,n_tokens,eot_u_4_L0,eot_u_4_L1,eot_u_4_L2,eot_u_4_L3,eot_u_4_L4,eot_u_4_L5,eot_u_4_L6,eot_u_4_L7,eot_u_4_L8,eot_u_4_L9,eot_u_4_L10,eot_u_4_L11,eot_u_4_L12,eot_u_4_L13,eot_u_4_L14,eot_u_4_L15,eot_u_4_L16,eot_u_4_L17,eot_u_4_L18,eot_u_4_L19,eot_u_4_L20,eot_u_4_L21,eot_u_4_L22,eot_u_4_L23,eot_u_4_L24,eot_u_4_L25,eot_u_4_L26,eot_u_4_L27,eot_u_4_L28,eot_u_4_L29,eot_u_4_L30,eot_u_4_L31,u_4_L0,u_4_L1,u_4_L2,u_4_L3,u_4_L4,u_4_L5,u_4_L6,u_4_L7,u_4_L8,u_4_L9,u_4_L10,u_4_L11,u_4_L12,u_4_L13,u_4_L14,u_4_L15,u_4_L16,u_4_L17,u_4_L18,u_4_L19,u_4_L20,u_4_L21,u_4_L22,u_4_L23,u_4_L24,u_4_L25,u_4_L26,u_4_L27,u_4_L28,u_4_L29,u_4_L30,u_4_L31
SSSF,health,a,259,-7.020767494908946,-7.799626738497915,-10.297405135245244,-3.4729169941744598,-0.3912347931901228,0.2064369103748891,-3.6479334112338417,-1.1982243896326021,0.7897224148910338,0.5196419894481876,-0.9574597372739673,-0.2442596008302734,-1.3518505664443423,-1.1160061310222273,-0.669546572963048,-0.8430793757859364,-1.7072694166600948,-1.3937363867793877,-0.8334785663223481,-2.3027706963888877,-2.1709401007753684,-2.208549293565852,-1.0153908148015345,-0.7894269049930158,-0.7482531760304358,-0.6388065648388104,-1.7854753056014554,-0.8973710992350131,-1.031587137449469,-2.162849844159004,-2.208604486283284,-2.122631708349258,-10.847013765011047,-10.737962755513701,-6.143196396488454,-1.30140697895184,-0.22074266246161603,-1.1600955910959057,-0.9936568015299859,0.010750439733626478,-0.4663699452120165,0.16489334847186538,-0.31167889328522813,-0.3940730456702509,-0.717497286781949,-0.6900944374153863,-0.5594973283091856,-0.8803189316754975,-2.0135240090897666,-1.6152727446406863,-1.4804150250466417,-1.3926992372162952,-1.7716806358854706,-1.4236858780544133,-0.1635798241122316,-0.3175695920509133,-1.3367785768832066,-1.732567656368242,-1.655622199466918,-1.5651104729475864,-1.7422066915552632,-1.4950960434878213,-1.9442131349457163,0.11109850296386536
NNNF,health,a,302,-6.142835552263928,-7.838416338728489,-10.561586256492012,-3.7091848761209993,-1.3356975769052415,-0.3298592373864572,-3.854403322024134,-1.876388408483379,0.452184253239093,-0.37078522573507944,-1.3964447173156218,0.2841255584169521,-0.7992269056355509,-0.21453496667912028,0.06424307318631783,0.34087284865359957,0.0667813412483308,0.790491146002157,0.24869584500826905,-1.6134831994812127,-1.2057620326016991,-1.1663021322499711,-0.8536852143741389,0.22061386343362804,0.2011156666776471,0.7065663883758184,0.4241047823325815,0.7809826649966582,0.8737765747478636,0.16786847360596827,-0.2562661677636774,0.051112532056256925,-10.526395741945029,-10.773616777877185,-6.17985573983543,-1.5346158089408286,-0.13089001258881677,-1.668675807993099,-1.2301960138585275,0.10722794995737049,-0.6323586514825434,0.07335226383378278,-0.25191628799064797,-0.19183701799224284,-0.5181456502850292,-0.28057426086016174,-0.259881042848661,-0.5482480173027865,-1.0417930531129105,-0.9877942175960375,-1.2236430083522813,-1.7169716664336843,-1.9083074082161005,-1.5573310651626024,-0.15736386322324397,-0.44858230751511485,-1.5606363551479288,-1.9399314220304262,-1.7946392413798218,-1.5670913579964687,-1.7950722372134085,-1.4704146088103183,-2.041633522719922,-0.41239769874950055
SSSF,health,b,315,2.544705162718953,-5.490736764660822,-7.415983968376418,-2.092950296909497,-1.040547613742871,-0.3348106430256098,-1.9937652224637665,-0.7600579158994789,-1.0211711701519948,-0.14826005025324318,-0.7273035882215986,0.4297819995399733,-0.028863715125060585,-0.5919877268659566,-0.0566670765285674,0.2925652554424747,-0.30914780760134,-0.45763638858963107,-0.4887421711758251,-0.016142492204181763,-0.330065325027592,1.0037332924618225,1.0622970187398986,0.5477658685675959,1.097505641764053,1.0207648361600077,-0.617720174576609,0.40509235822085643,0.4163612103177536,-0.3266105890920727,-1.1270205667935616,-1.3047897556172188,-5.159932120817884,-7.51839017789185,-3.110672404998805,0.15098493172458616,0.198897908700736,-0.5958150286394815,0.6999076047330821,-0.24765331073615438,0.2583176764074746,0.4067643134056696,0.3401422507063974,-0.9667241298199584,-0.6050348851536156,-0.23000614243375678,0.3515782951886755,0.17441931765585178,-0.1841244990936036,0.2589454190393065,0.009802465679266138,-0.35586802498339126,-0.14466475077605467,0.3488719007578722,1.3156465851950863,1.3852954442713499,1.7635161235036592,1.9508796700612454,1.92463560879698,1.8717484525798131,1.6613460779957552,2.14070399096167,2.820903663708116,4.069375084168414
NNNF,health,b,279,1.5155172857147763,-6.03934604194675,-7.638249027763585,-2.6004758325435304,-2.490955104759432,-0.8732317601304074,-1.9570913365514662,-0.8986036753298958,-0.5007748179112964,0.30516574736837265,-0.07981143004166961,1.411695131546037,1.0153108691821116,0.35360758708473927,0.6197429039254493,1.113444937151413,-0.05857609238160877,0.6754173156236567,0.08115174116572085,-0.2637230892964755,0.15853178276677268,0.8302424579761023,1.0025030387459406,0.27481359374640646,0.5893240199886698,0.3740446313912057,-0.3794665791236363,0.2735432311936628,0.2714393453884918,-0.5430142098659106,-0.822255427605163,-1.6710533770620206,-5.644888699480274,-7.63833808491274,-3.1486564216593753,-0.19502264878868436,-0.07280291182785883,-0.4051543740913338,1.2183404277182206,0.34097082495714226,1.0055880454169364,1.0292618211985707,0.6667967643682697,-0.5961137954182681,-0.44913108146730213,0.0015824620673018956,0.22489775683783447,-0.11010228448158577,-0.19988818029459196,0.44548150862447394,0.2507837198019885,0.1873056992109578,0.16254754305739272,0.8204597483174509,1.9939196598463291,2.019542252407127,2.3388191901472446,2.60194545798858,2.4050738848079973,2.3013613949836977,2.0775726654921964,2.658788179506826,3.1705976080343805,4.461908655537104
SSSF,tech_support,a,421,-0.09647866313092428,-2.0160124402131068,-4.067700933462922,-1.9294710111853701,0.5097268018324127,-1.244838487710481,-2.489668676818493,-0.24219749706079569,1.836372925163378,2.4017804885061227,0.4617516863204487,1.4885529980119259,0.20268934169195257,0.8331180782677794,0.7208114970913508,0.13926289358102242,-0.02324061170106595,0.4663088883669292,-0.28674097874638216,-0.6679027288544661,-0.4722770272992427,-0.7767503120343431,0.6663462630421132,1.1480536215984813,1.7862743248254052,1.8539891933789634,1.5391339401229867,1.7962086469632756,1.3141134260419032,-0.08378893223736658,0.08378291649574948,-0.3667195749543571,-12.928584893677378,-7.1771516427330075,-2.4046037936084192,-0.5527134940518191,0.7486964682508342,-0.7132856897785972,-0.841280847706209,-0.276489628383744,-0.025611404507737266,1.1355899436382542,0.3981004830361172,-0.018946755373812445,-0.07672926065643383,-0.9160800712906378,-0.5764690760948626,-1.0145922766567443,-1.7916585907795763,-0.6501834548718525,-0.7063133450458913,-1.3543496082506399,-1.341703882485127,-0.8763839458540059,0.06392047015762924,0.7142730990229915,-0.12863529748966954,-0.5414695658370581,-0.41040223118268204,-0.32970326552046997,-0.319134224633342,0.12978064869032793,0.11821796330839289,2.1390682157366805
NNNF,tech_support,a,443,-1.0853343477392836,-2.434323112099716,-4.131261302392127,-1.8327197489865863,0.7038411261039994,-0.9285230552989238,-2.697059618472599,0.06874641785957031,2.2632163033877677,2.7202803504410586,0.7960053260506548,2.252734768415342,1.0084501082489017,1.693085568199535,1.2974201740306324,1.3833357495982121,1.4783865309511084,1.8529177821834537,1.0700998499993861,0.0680075465814583,0.7386427382124761,0.3980467944138641,1.6950090563274673,2.55136886967379,3.3575484270650713,3.6666658049046243,3.403669937345539,3.2599288489070077,2.579960293491767,0.8065022406239998,0.7438408171736806,0.7337299555025167,-12.818623153389312,-7.236831329876894,-2.383351031706209,-0.5677877868890856,0.8540488164791185,-0.7141096697583158,-0.8536001309343368,0.04183139481580399,0.10881574554830678,1.3970846025070998,0.5609444190214502,0.3585708205440107,0.20119907124375153,-0.4587150685775832,-0.395091592107604,-0.876284547564541,-1.6424109254501547,-0.31102458771338093,-0.4126751938658705,-1.1144150730366384,-0.9722922392490098,-0.4544949318980112,0.6481656447145762,0.9353630533298214,0.022709178295019145,-0.3459472561511472,-0.1514311943816659,-0.08431494121530476,-0.21078122604274796,0.19827229227170598,0.03490504745705007,1.8790145320125395
SSSF,tech_support,b,397,-4.00554515876565,-3.1186498896170334,-5.2093517597440036,-1.8260555452366587,-0.40872800796329695,-1.6260452955879612,-4.023161589315262,-1.480511333380057,0.8490621085161503,1.6079715597991204,0.17827419583350762,0.7889200066033278,-0.5499221906152,0.25708492019538326,0.6329948071302728,0.2427199889619672,-0.24365633819374433,-0.6211803320316291,-0.6499384706536735,-0.9013486264745012,-1.663725512299815,-1.9613947232600062,-1.4470903258438237,-1.6252832110620483,-0.5807142745003275,-0.3644306821151852,-1.1816992018397887,-0.7923230146026143,-1.2690918345333724,-1.8398633224723215,-1.4319180636426145,-1.440212071129413,-11.264014639176084,-7.752256895128316,-3.9574224956061355,-1.6304415702213828,-0.3280744806231407,-1.9205749297594874,-0.6408019197999686,0.41853059628578976,-0.11094291028712758,-0.02085283425037849,-0.44155361622948436,-0.47527945971157587,-0.15525481254106038,-0.31441366791930697,0.3350022600718697,-0.26287581164847634,-1.1620493856659517,0.06702485487658007,-0.6097129668459473,-0.36423092797104595,-0.6134518965907075,0.15069107079458252,1.0837434134442065,0.6650497368702037,0.3391024217802873,-0.1613994218496142,-0.605174931752615,-0.8523419105571346,-1.1145008480508678,-0.9541783751901785,-1.2942335674639258,0.341315974284338
NNNF,tech_support,b,350,-4.014362119928659,-3.510252446006719,-5.382424175198781,-2.166692532111089,-0.5257350386069136,-1.284420988081107,-3.9777274538776526,-0.9564826798903812,1.1665627255230921,1.330457708759312,0.06682714178584427,1.4907376819115186,0.25737501080049136,1.261479110380902,1.260951089640768,1.2105920351071835,1.086028112008661,0.45066957582931066,0.5184171255317129,-0.4427904674799157,-0.4244228805195265,-0.732395389086854,0.10035793201368085,0.22156336715381353,1.0388227522003106,1.342251846849944,0.5884866880554684,0.6471284539740715,0.2809145475331665,-0.32548892834998444,-0.30888237003875263,-0.6958644004849895,-11.205509344088282,-8.009449016180723,-4.135486862906088,-1.7313608798249835,-0.2837322678131753,-1.6694443737894398,-0.6533674119215728,0.5167062291200927,0.017140539289004893,0.06670764365687386,-0.30108639981165275,-0.30601937660371903,-0.12616314608524135,-0.14779378223975975,0.7179287240334128,0.34305994726101063,-0.7293623776126432,0.23737304860434907,-0.4856317387225864,-0.4835707658440069,-0.954348181227654,-0.35994225521481477,0.7582251126191392,0.5481901182059221,0.05662465322113483,-0.42096914782023986,-0.7403533320645991,-1.0305323200463168,-1.3223589059333563,-1.1495998203390616,-1.5463334817940688,0.1611112794442337
SSSF,travel,a,784,0.6009844729449996,0.19526086962252714,-3.662800072930766,-0.4242580437568188,0.2567434345011026,-0.27693132179055224,-1.9452186653482864,0.1689123171395332,1.8166941444000966,1.396029809603289,0.650258449739887,0.605690772112156,0.039715965587941215,-0.25512631777842343,0.45239420683573617,-0.10818882089556284,-1.012198527850288,-0.6558367107666757,-0.640872704181245,-0.8145340887461923,0.05774404964701513,0.30810742150121173,0.5840493445473058,0.824182417115674,0.6605137165506851,0.6866688119945754,-0.12903466158039267,-0.10765420451181539,-0.5239268918319309,-2.019178778471088,-2.6478840133810593,-2.4488688929491182,-3.9016523305934805,-2.5667362157772677,-3.735821093238078,0.8364673394777955,0.8236175789153088,0.9491533136444681,1.3209065607163442,0.7661864956326044,1.5963772240212288,1.3865377910596597,0.5905506300364108,-0.17576418728388987,-0.025153744752257574,-0.47246956583802197,-0.37551230958554943,-0.7723521595644011,-1.7567911640383365,-1.96441494201738,-1.5897697147593344,-1.8132755070663495,-1.7440086251111477,-1.2298813555962829,-0.568832664905155,-0.2919333012367498,-1.0527436723353196,-1.0671299351969326,-0.9956120381222235,-0.516738572163705,-0.9900171319025366,-0.47113868384516217,-0.31825838042832466,1.6056729458978682
NNNF,travel,a,810,0.29353512432849044,0.09477293276964638,-3.626658083594206,-0.6271912395632631,-0.5175793151293477,-0.2995340009966657,-1.9064211259689787,0.5396137609086392,2.391212946452819,1.8953411129038356,0.923297466341833,1.7424825882624888,1.1089614299259067,1.0055956892375242,1.195038508511196,1.183417702486691,0.3387076529877151,0.3909808128050578,0.020478965626315432,-0.8755288606586222,0.16906781972341678,0.30467304254622024,0.7048971465615553,0.879138034541572,0.7827931259027896,0.8701800651929998,0.08909172340231514,0.0694023568369141,-0.23829695384573218,-1.6862824846847706,-2.6443540175646554,-2.743774736455031,-3.954995755020541,-2.7377076866152215,-3.744792942755427,0.5934640218689239,0.6699853703400286,0.8452298550212725,1.3471873172186175,0.989794635930252,1.953627200639213,1.5946173178470817,0.6071750227264986,-0.039726293423132664,0.0650047958420279,-0.34454097184622984,-0.38104000516842207,-0.4038634752932879,-1.3984744551272332,-1.284790475145601,-1.35444078409388,-1.724224041759944,-1.7396983609091188,-1.2858511486268165,-0.5288158408534073,-0.37336899592577333,-1.1664718803472125,-1.1670001717762335,-1.1536861375536356,-0.7079080490631378,-1.2098640694366074,-0.7283434967135148,-0.6636107257567516,1.1083955079451375
