layer,spliced_mean,spliced_sd,nnnf_mean,nnnf_sd,diff,dz,original_diff,original_dz
0,-2.527947229130079,3.4633444643847224,-2.8047419474688366,3.1113408502738356,0.2767947183387576,0.3722673928157129,1.8643527342678314,0.7056009248641356
1,-2.7217538969253723,3.185432873314234,-3.1385139988735116,3.1757928292160176,0.4167601019481393,1.3420344272365312,4.107501065667158,2.3135796559576343
2,-4.5002604916165065,3.0732005510198825,-4.690922894466183,3.1422517242205408,0.19066240284967684,1.3159824871964212,2.4002188476418858,1.8988311105383544
3,-0.9543769985500077,1.4057391521793587,-1.237249604689229,1.4021478271558472,0.28287260613922127,1.4686913295851478,0.9704571138874716,1.1166130588184704
4,1.3583917803664591,2.2157788561749587,0.7490348574421868,2.2788231571091586,0.6093569229242723,1.1367277449095594,1.0084020771514395,0.9150194804398218
5,0.4173107028949706,1.7605135010687853,0.33471147105483395,1.7220690737867732,0.08259923184013662,0.19637914944171608,-0.45243382603078497,-0.5763801175838584
6,-2.070705281906048,1.5507221281825965,-2.0776693919581337,1.579046097165697,0.006964110052085637,0.03725557340955801,0.02876562431266594,0.0635301935086597
7,0.221464481795899,1.6102253628044625,0.3383487849883348,1.671453140162163,-0.11688430319243581,-0.31635383469334843,-0.10996893515145131,-0.1930782087501867
8,1.8992046488919285,1.7530457659008787,2.1884135743411974,1.6972237169190314,-0.2892089254492689,-0.960833835798676,-0.38771154174299904,-0.8454306630112253
9,2.0431753534657684,1.5720105857924422,2.063737962958962,1.5891027705987477,-0.020562609493193662,-0.04826605835180135,-0.36483475683552813,-0.6405099580177007
10,0.70992637650799,1.4560871857526956,0.7919397956489707,1.4701246049001924,-0.0820134191409807,-0.27150694511190754,-0.2537097530238601,-0.5391965253529503
11,1.4318821394739323,1.2454067246403102,2.0649044445796734,1.2036575154548066,-0.6330223051057411,-1.8261885003473173,-1.0274462773654245,-1.9553377731066617
12,0.4513536183326363,1.2166443948956092,1.1208135636708718,1.1848391397182618,-0.6694599453382355,-2.1357898435238747,-0.7534186322294292,-1.41226853783155
13,0.7521832160393357,1.4037397048892462,1.4886477654941077,1.1662932262803922,-0.736464549454772,-1.9140770394540636,-1.3370621282633737,-2.22430546180986
14,1.007602470110973,1.1939071336116005,1.425704981877231,1.0530673606731187,-0.418102511766258,-1.0708209587784945,-0.7071502170273866,-1.201247084538224
15,0.8195786967770158,1.219660416348693,1.53963334308517,1.1673836225879197,-0.7200546463081543,-1.4588444632951416,-1.5400515265689751,-1.8991692702798917
16,0.5160152775510947,1.5632398770009834,1.4911153190006914,1.4505647734063707,-0.9751000414495967,-2.143030889387242,-1.5104172515556813,-1.8261655446348104
17,0.6651996421567926,1.5663584490984537,1.6390680345206703,1.2902690058809432,-0.9738683923638777,-2.0082276997711865,-1.2567329375566338,-1.823591301390509
18,0.29342848617157025,1.2683441040228252,0.949474842500468,1.1351973397661672,-0.6560463563288977,-1.7935720815646168,-0.8186732614731955,-0.983341899922336
19,0.16680844006879667,1.670337281511716,0.2819602284989666,1.5296658056513017,-0.11515178843016996,-0.33261646163088804,-0.24243078569979212,-0.247728885198497
20,0.11316527594257852,1.519922438416345,0.7010388909713926,1.4414765702194765,-0.5878736150288141,-1.67016247644925,-0.28016909137585,-0.3076648430137988
21,0.27669954820097936,1.7270391434768544,0.6901362606982933,1.493629893584181,-0.4134367124973139,-0.8708725500681087,-0.33630593530485436,-0.3317686147586342
22,0.7506531043282161,1.4718346424326203,1.3381207865861868,1.5266347400291618,-0.5874676822579707,-1.0193802328151973,-0.7942820834911994,-0.959813593027864
23,1.0391133279204006,1.7632659482333592,1.7570469311126753,1.7559956657044253,-0.7179336031922747,-1.1904309279885308,-1.1200449262793701,-1.448759344717333
24,1.5738570773852563,1.6585623047539684,2.2860466330073903,1.7927840698356416,-0.712189555622134,-1.071663070481815,-0.7490200613149836,-1.0433221687508518
25,1.4779888413069642,1.4739849272901528,2.325571458851956,1.6762079240028047,-0.8475826175449919,-1.1274219396658745,-0.8242825529347102,-1.125486974472311
26,0.6099561740894591,1.5609025387721804,1.7736317566935758,1.6840864158328208,-1.1636755826041165,-1.697053225100803,-0.7622949619630432,-1.2349367625341023
27,0.8234943769058513,1.2620024303402106,1.724903888282973,1.3519782857300118,-0.9014095113771218,-1.5907531565664452,-0.8138693987669067,-1.2808933922269807
28,0.4951844486154683,1.2285691329377935,1.39035712528256,1.2601763440554326,-0.8951726766670917,-1.5008527141470025,-0.9358615841092301,-1.596993582344662
29,-0.29406908250517316,1.4052277924572212,0.5829150373188512,1.4603092784014253,-0.8769841198240244,-1.434058784093864,-1.254989912317329,-1.927769786585372
30,-0.4411312406612993,1.3335647124702974,0.14583743038529345,1.4728644691438375,-0.5869686710465927,-0.9784873101124215,-0.33183691260618053,-0.427394033290005
31,-0.6615655473172909,1.2201796816227117,-0.2087470133566085,1.4255012326997243,-0.4528185339606824,-0.5993673172367561,0.057980538890450906,0.0546581037016917
