layer,spliced_mean,spliced_sd,nnnf_mean,nnnf_sd,diff,dz,full_sssf_diff,full_sssf_dz
0,-1.0970573468004141,3.229533806655297,-2.8047419474688366,3.1113408502738356,1.7076846006684225,0.6723493929261437,1.8643527342678314,0.7056009248641356
1,0.7258732360878316,2.3946516812575585,-3.1385139988735116,3.1757928292160176,3.864387234961343,2.165756167631694,4.107501065667158,2.3135796559576343
2,-2.3268598708363983,2.4512076302976187,-4.690922894466183,3.1422517242205408,2.364063023629785,1.8950060487803162,2.4002188476418858,1.8988311105383544
3,-0.504961905262322,1.2064385024922486,-1.237249604689229,1.4021478271558472,0.732287699426907,0.9098665660737075,0.9704571138874716,1.1166130588184704
4,1.5591953996843329,1.9227927548185275,0.7490348574421868,2.2788231571091586,0.8101605422421461,0.8602537452118729,1.0084020771514395,0.9150194804398218
5,-0.01779453793349628,1.6329545731402537,0.33471147105483395,1.7220690737867732,-0.35250600898833023,-0.6206824472613898,-0.45243382603078497,-0.5763801175838584
6,-2.042110519125513,1.4089860306979805,-2.0776693919581337,1.579046097165697,0.035558872832620825,0.12183845033451064,0.02876562431266594,0.0635301935086597
7,0.41124627224266136,1.540777994891319,0.3383487849883348,1.671453140162163,0.07289748725432654,0.18005612003149724,-0.10996893515145131,-0.1930782087501867
8,2.0397789306916456,1.5825732923906333,2.1884135743411974,1.6972237169190314,-0.1486346436495518,-0.4177508183359697,-0.38771154174299904,-0.8454306630112253
9,1.7527197145139706,1.5844548220613142,2.063737962958962,1.5891027705987477,-0.3110182484449915,-0.746585734227137,-0.36483475683552813,-0.6405099580177007
10,0.6056549251144947,1.4705411371233266,0.7919397956489707,1.4701246049001924,-0.18628487053447595,-0.4654496355001665,-0.2537097530238601,-0.5391965253529503
11,1.4356127036978301,1.1379518578064998,2.0649044445796734,1.2036575154548066,-0.6292917408818433,-1.2607023446808419,-1.0274462773654245,-1.9553377731066617
12,0.7033250270156424,1.1756847191805744,1.1208135636708718,1.1848391397182618,-0.41748853665522945,-0.9319221207427304,-0.7534186322294292,-1.41226853783155
13,0.6230072420056166,1.2432811119290137,1.4886477654941077,1.1662932262803922,-0.8656405234884911,-1.7355106714786148,-1.3370621282633737,-2.22430546180986
14,1.1486830132031354,1.0436470329076604,1.425704981877231,1.0530673606731187,-0.27702196867409556,-0.6274314370359199,-0.7071502170273866,-1.201247084538224
15,0.6925386094536966,1.2815122505943028,1.53963334308517,1.1673836225879197,-0.8470947336314735,-1.3486249655470008,-1.5400515265689751,-1.8991692702798917
16,0.5617775382249175,1.684532271531257,1.4911153190006914,1.4505647734063707,-0.9293377807757739,-1.1604825996448846,-1.5104172515556813,-1.8261655446348104
17,0.8993723787659549,1.5621205654465167,1.6390680345206703,1.2902690058809432,-0.7396956557547154,-1.171964908914984,-1.2567329375566338,-1.823591301390509
18,0.5993985370025653,1.344706824560399,0.949474842500468,1.1351973397661672,-0.3500763054979027,-0.4551824253110892,-0.8186732614731955,-0.983341899922336
19,0.5714662164547388,1.8544488386459397,0.2819602284989666,1.5296658056513017,0.2895059879557722,0.3539813474376217,-0.24243078569979212,-0.247728885198497
20,0.803421859960267,1.6628747762811338,0.7010388909713926,1.4414765702194765,0.10238296898887445,0.12560750877819193,-0.28016909137585,-0.3076648430137988
21,0.7218082398181765,1.9403779229656852,0.6901362606982933,1.493629893584181,0.03167197911988329,0.038334450680659195,-0.33630593530485436,-0.3317686147586342
22,0.6714316663268762,1.660064042490681,1.3381207865861868,1.5266347400291618,-0.6666891202593106,-0.8637134400429637,-0.7942820834911994,-0.959813593027864
23,0.939519617492366,1.7418865619007293,1.7570469311126753,1.7559956657044253,-0.8175273136203093,-0.9565157454815897,-1.1200449262793701,-1.448759344717333
24,1.5564552260285751,1.7969705948979486,2.2860466330073903,1.7927840698356416,-0.7295914069788152,-0.8047031415656087,-0.7490200613149836,-1.0433221687508518
25,1.5568724511409537,1.5653924088339504,2.325571458851956,1.6762079240028047,-0.7686990077110023,-0.7961500315199758,-0.8242825529347102,-1.125486974472311
26,0.8685780808377606,1.4476082407456103,1.7736317566935758,1.6840864158328208,-0.9050536758558152,-0.971903417757206,-0.7622949619630432,-1.2349367625341023
27,1.0995444516278785,1.3503457197022544,1.724903888282973,1.3519782857300118,-0.6253594366550945,-0.7066257315440948,-0.8138693987669067,-1.2808933922269807
28,0.678881907057578,1.2834733071757098,1.39035712528256,1.2601763440554326,-0.7114752182249819,-0.8251018232413466,-0.9358615841092301,-1.596993582344662
29,-0.2904482416751652,1.3551553509902907,0.5829150373188512,1.4603092784014253,-0.8733632789940164,-0.8122747837431207,-1.254989912317329,-1.927769786585372
30,-0.07090031862403925,1.1543706902758646,0.14583743038529345,1.4728644691438375,-0.2167377490093327,-0.21020691339047165,-0.33183691260618053,-0.427394033290005
31,-0.04266675413781594,1.0707377995577083,-0.2087470133566085,1.4255012326997243,0.16608025921879255,0.11380267200054475,0.057980538890450906,0.0546581037016917
