layer,eot_u_3_acc,NNNF_mean,SSSF_mean,Nuser+Sassist_mean,Suser+Nassist_mean,dz_SSSF,dz_Nuser+Sassist,dz_Suser+Nassist
0,0.9468749999999999,1.9317296989292607,12.77533627647052,13.244460223401967,1.0906391393205688,2.6472589827274784,2.7436384265955103,-0.8582610113007481
1,0.971875,-1.6984625918240326,9.609976868519306,9.664588853800115,-1.7006219650672172,2.6637298814163537,2.680034981486202,-0.00430193082228924
2,0.9875,-3.576200984842014,3.411744526311466,3.4053270884362936,-3.463962473817216,2.5236494530158327,2.562931692971552,0.32964672100283215
3,1.0,-1.8633374472691966,6.370754099363725,5.879274989202135,-1.2700135160454593,2.546057889102902,2.529132096253917,0.7446868646873207
4,1.0,2.571679037284949,9.84042227028733,9.051808285056016,3.523453949646015,2.5531806401322354,2.3901038951722393,1.3181974245947041
5,1.0,3.1718248816490453,8.044249905787137,7.36631799803005,3.286720397364916,2.1253624417241577,1.7888863933418009,0.14286701918917225
6,1.0,-0.4347921123171501,1.119229747020834,1.0933482908541083,-0.48526361818264674,1.3399535912868088,1.4017959869506824,-0.14407872763581187
7,1.0,1.5365694301156823,3.5001946984698193,3.2328863375241235,1.9601585533695407,1.6646706721619575,2.0603088903545452,0.7275793710624459
8,1.0,1.4676973949089618,2.7653694722350606,2.8390277946743803,1.4523732640438471,1.225151682021505,1.6258595907584288,-0.029324851275648035
9,1.0,-1.3453869490780652,0.41809593281892143,0.21777735511954627,-0.8260648078868538,1.5054946015846569,1.6636119250933692,0.7130014588586215
10,1.0,1.1845846278009273,2.299993808313387,2.5605035521830652,1.3455208273694708,1.1254477091594872,1.5436785035925926,0.27688736647243506
11,1.0,0.6432325120564533,1.90042364079887,2.1696742759825685,0.6655773027338094,1.075996705818346,1.458777858930569,0.03918427111252741
12,1.0,-0.5959545618529448,0.6819298722498994,1.1697570824494676,-0.7780811529352939,1.1453534604733693,1.6288378544737099,-0.2855886272999293
13,1.0,-0.38443501245645023,0.5053360165177776,0.9889414443950638,-0.38714979699184937,0.8013122537760219,1.3668133879235762,-0.003919484593194024
14,1.0,-0.1306274048818267,0.9659548958293147,1.3147308701793248,-0.5946849713544952,1.2145659270091222,1.816589790269237,-0.7903565509096201
15,1.0,-0.8315031996193543,0.6152916851489623,0.810437344890451,-0.7461658108445661,1.8207405173416702,2.4986879423950152,0.2717163910054658
16,1.0,-1.463914081194439,-0.36202028249156487,-0.004362980869691668,-1.6247447554820695,0.9179006924058227,1.3558328200246563,-0.42692744132548416
17,0.996875,-0.08216803605715013,0.9360078958268059,1.2806748911523778,-0.3166058682948904,0.8453895666200361,1.659200255162494,-0.32345837363580965
18,0.996875,-0.3356759382787521,1.441253999474948,1.5518733127742057,-0.4679380501937226,1.4724624426108903,2.0156295197499037,-0.13769618818181564
19,0.996875,-1.1474561220373136,0.263791741679381,0.432657095051358,-1.135117901075629,1.3628884729585151,1.963491612452926,0.019062911804778742
20,0.996875,-1.585909380693184,0.2953573739286394,0.5429914851351658,-1.2948518170977157,1.2341195047674267,1.7055678567332733,0.34898912878866684
21,0.996875,-1.0058480285709472,0.9899264145581121,0.9935363940674021,-0.6026123683194188,1.3543985048224305,1.8023225547273594,0.6091093722574596
22,0.984375,-0.5226934701251965,1.7533605086469504,1.5495413274612053,-0.5075830390999754,1.4214432162985904,1.6358687886265764,0.021082068083015906
23,0.99375,-0.28023479163790393,2.0364378348551258,1.7353118609162668,-0.28956970818621386,1.7710316913137187,1.6435944668958888,-0.011836192592497278
24,0.996875,0.10964655607383893,2.514248972773028,2.2145063337135626,-0.002949315250198836,1.9598149619064344,1.8268749539657303,-0.14976922781140722
25,0.996875,-0.33192590870251004,2.158090392813869,1.8040499642718533,-0.6000696903306102,2.049759495236061,1.7377962709515875,-0.38263606806516753
26,0.996875,0.31081775928790323,3.0076839533212008,2.4444804840589884,0.1545802171907388,2.4987454390630655,1.8297152983758604,-0.22610718641318595
27,0.996875,-1.6338568224854502,2.075692930438225,1.4665254691714984,-2.0432012532212793,2.9299976707421154,2.2053899908716423,-0.4897092684400645
28,0.990625,-2.110791390129483,1.380361936874975,0.7836202470374658,-2.090751452893567,2.535019783871295,1.9182329204563802,0.021962461393685292
29,0.990625,-0.9042165182372509,1.6615532892350373,1.0631349590618626,-1.0831446407538898,1.9214348781622028,1.3547847970193954,-0.1946033096041799
30,0.978125,-1.719667767910393,2.446310231163003,1.4984658903546548,-1.6204321915159816,2.0530311233574947,1.5723819947255067,0.07573795883416441
31,0.975,-1.1744797889589491,2.7810852138885807,2.069066499906938,-0.9481539063453107,2.0741853136996653,1.4445608677071464,0.1593730258931074
